Accession Number,Reference Number ,Magazine,Date of Acquisition,Place of Acquisition,Volume,Issue,Release/Publication Date,Release/Publication Month ,Release/Publication Year,Newsstand Price,Size/Measurements,ISB,Primary Format,Image file name,Areas of Interest,Special Issue
,,AARP,,,,,,December/January,2013 /2014,,,,print,aarpmag_dec_2013.jpg,,
,,Ladies' Home Journal,,,,,,December/January,2013 /2014,,,,print,ladieshome_dec_2013.jpg,,
,,Essence Special Issue,,,,,,,2013,,1603201688,,,,,
,,Life Special Issue,,,,,,,,,,,,,,
,,The Advocate,,,,,,,,,,,,,,
,,The Final Call,,,,,,,,,,,,,,
,,The Independent,,,,,,,,,,,,,,
,,The observer magazine,,,,,,,,,,,,,,
,,People,,,,,,Nov,2018,,,,,,,
,,People,,,,,,dec,2019,,,,,,,
,,Good housekeeping,,,,,,jan,2019,,,,,,,
,,Essence,,,,,,dec,2018,,,,,,,
,,ok,,,,,9,december,2019,,,,,,,
,,princeton,,,,,18,FEB,201+C+C171:J175,,,,,https://issuu.com/witherspoonmediagroup/docs/princeton_mag_feb_18,,
,,roLLING OUT,,,,,23,may,2019,,,,,https://rollingout.com/2019/05/23/michelle-obama-reveals-her-truth-on-love-race-and-life-after-the-white-house/,,
,,Conde Nast Special Issue,,,,,,,2018,,,,condenast-leadingbydesign-2018.jpg,,,
,,,,,,,,,,,,,,,,
,,"American Icons, Athlon Entertainment #20, 96 Pages",,,,,,,2017,,,,athlon_2017.jpg,,,
,,Essence Special issue: The White House Years,,,,,10,october,2017,,,,,,,
,,Essence: Special issuePortrait of America's New First Family: From the Editors of Essence,,,,,10,march,2009,,,ISBN 10: 1603200738 ISBN 13: 9781603200738,,,,
,,Essence The first year in the whitehouse,,,,,,,2010,,,,,,,
,,"ESSENCE: A Salute to Michelle Obama from the editors of Essence magazie  From Murray Media (NORTH MIAMI BEACH, FL, U.S.A.)??",,,,,,,2013,,,ISBN 10: 1603201688 / ISBN 13: 9781603201681,,,,
,,Us WEEKLY MAGAZINE COLLECTOR'S EDITION MICHELLE OBAMA NOVEMBER 2013,,,,,,Nov,2013,,,,,,,
,,Life Secial issue,,,,,,,2018,,,,,,,
,,"Life Magazine: A Portrait of the First Lady, Michelle Obama Single Issue Magazine – September, 2009",,,,,,September,2009,,,,,,,
,,Life Magazine Special Edition First Ladies Portraits of Grace and Leadership 2017 96p Paperback – 2017,,,,,,,,,,,,,,
,,Michelle Obama : A Portrait of the First Lady (NoDust) by Life Magazine Editors  Time Inc Books pubkisher,,,,,,,,,,1603201033 and 9781603201032,,,,
,,Variety,,,,,23,august,2016,,,,,,,
